Subject,Agency,Solicitation #,Date,Year,Description
PLANNING AND ESTIMATING SERVICES,General Services Administration,COL-99-168,0513,99,"Work shall include, but be not limited to, planning and estimating services for the General Services Administration, Public Buildings Service, Columbus Field Office, Columbus, OH.  The term of the contract is one year.  Performance period is August 01, 1999 through July 31, 2000.  The contract is set aside for small business, size is $3,500,000.  Bids will be opened on July 06, 1999, at 4:00PM local time, at the General Services Administration, Public Buildings Service, Columbus Field Office, 85 Marconi Blvd., Rm. 121, Columbus, OH. 43215.  The solicitation will be available on or about June 03, 1999.  To obtain a copy, please download from the Internet, at http://www.eps.gov.  All responsible sources may submit an offer, which will be considered."
GRAPHIC ART SERVICES,General Services Administration,CPN-B-CJ018-1,1119,98,"Creative design and pre-press production of a 180-page 4-color Office Supplies & Equipment Catalog.  Catalog will consist of approximately 1,400 products including descriptions and photos as well as ordering and delivery information.  Project will require extensive copy writing and technical copy editing.  Iomega Zip Disks with printer instructions and composite proofs will be required as part of the deliverables. Actual photography and scanning of approximately 200 products will be required.  Photography will take place at GSA's depot facility in Fort Worth, Texas.  In addition to the 200 individual product shots, contractor will photograph approximately 20 group shots that will be used to creatively display random products in an office environment, i.e., using desks, staged office settings, live models, etc.  These 20 group shots may be photographed in Fort Worth or at the contractor's facility. Organization of products by categories may be requested.  An initial design and cover suggestion for the catalog will be requested.  The GSA Corporate Identity standards will be provided to the selected design firm.  The firm chosen will work with GSA to establish production schedules.  Electronic files with layout, design, and photo elements become the property of GSA.  Printing will be procured separately."
TRACK RESEARCH INSTRUMENTATION VEHICLE (TRIV),Department of Transportation,DTFR53-99-R-00019,0623,99,"The Track Instrumentation Vehicle was previously published with an estimated RFP closing date of July 13, 1999.  The revised date for issuance of the RFP is June 16, 1999, with a revised estimated closing date of August 3, 1999."
"COMBINED SOLICITATION/SYNOPSIS FOR CUMMINS DIESEL ENGINE 430 HORSEPOWER UPGRADE TO BE INSTALLED ON USAF SUPPLIED 1991 KENWORTH TRUCK/TRACTORS WITH ENGINE N14-330HP, CPL #1380 FOR MINOT AFB, ND.",Department of the Air Force,F05604-99-T-2641,0630,99,Engine   Synopsis/solicitation:
GROUNDS MAINTENANCE SERVICES OF RAMSTEIN AB RESTRICTED AREAS AND HOCHSPEYER AB AMMUNITION STORAGE AREAS,Department of the Air Force,F61521-00-R2200,1208,99,"Grounds maintenance of Restricted Areas: Ramstein Air Base and Hochspeyer Air Base, Germany.  Vegetation control to include but not limited to: grass cutting, tree and shrub pruning, stump removal, and disposal of all clippings and debris."
VEGETATION CONTROL KAISERSLAUTERN MILITARY COMMUNITY,Department of the Air Force,F61521-00-R2201,1220,99,"United States Air Forces in Europe (USAFE) Contracting Squadron/LGCC will be issuing a solicitation for ground maintenance services. The project will include maintaining approximately 4.1 million square meters of area. The contractor tasks will include, but are not limited to:  grass cutting, tree and shrub pruning, stump removal, and disposal of all clipping and debris.  The areas will include but are not limited to: Ramstein Air Base, Kapaun Air Station, Vogelweh military family housing and community areas, the Flieger/Bluutackerstrasse Kaiserslautern area, Landstuhl family housing and billeting,  and Sembach Administrative Annex. Proposals received will be evaluated on the basis of  the following criteria.  All criteria will have equal weight."
REPLACEMENT OF VINYL FLOOR COVERING WITH CARPET IN KLEBER KASERNE BLDG. 3211,Department of the Air Force,F61521-99-Q2129,0607,99,ONLY CONTRACTORS WHO ARE LICENCED TO WORK IN THE FEDERAL REPUBLIC OF GERMANY WILL BE CONSIDERED.
REPLACEMENT OF FLOOR COVERING BLDG 3732 LANDSTUHL HOSPITAL,Department of the Air Force,F61521-99-Q2131,0621,99,ONLY CONTRACTORS WHO ARE LICENSED TO WORK IN THE FEDERAL REPUBLIC OF GERMANY WLL BE CONSIDERED.
GREECE BASE MAINTENANCE CONTRACT,Department of the Air Force,F61521-99-R-5010,0813,99,"Subject solicitation is for base maintenance services at Araxos AB, Greece, to include program management, civil engineering, services and motor vehicle management and maintenance."
ARCHITECTURAL COMPATIBILITY GUIDES,Department of the Air Force,F61521-99-R2005,0505,99,"The contractor shall create two (2) Architectural Compatibility Guides (ACG), one (1) for Ramstein Air Base (to include Kapaun Air Base), and one (1) for Spangdahlem Air Base, Germany.  An additional guide for Sembach AB may be submitted as an optional line item.  The contractor shall provide all labor, material, photography, fieldwork, surveys, research, artwork, graphics, and photo reproduction.  The contractor shall perform site visits, attend review conferences, and provide draft AGC for review at specified times throughout the period of performance.  The team leader will provide formal presentations in technical English at each base location. The objective of the guides is to facilitate qualitative planning, design, and design decisions critical to the base for both short and long-term architectural planning.  Each guide shall establish parameters, which can be given to an Architectural Engineer and the in-house design staff that clearly conveys architectural uniformity throughout the base. The selected contractor will create each guide with a table of contents, narratives, quality colored photographs, sketches, and a topical index.  Estimated cost of the project is between $500,000.00 and $1,000,000.00.  The estimate is based on the completion of guides, which consist of a minimum of 150 and 250 pages each. The estimate is inclusive of the optional line item for creation of a guide for Sembach AB.  The period of performance is 150 calendar days.  The anticipated award time is August 1999.  The contractor_s team leader must be able to communicate fluently in English, be located or establish an office within 100 km of Ramstein AB, and have background / experience as an Urban Planner / Architect, and hold a University level degree.  Interested contractors may obtain a complete copy of the solicitation upon written request on or after May 17, 1999.  E-mail addresses are requested."
GRASS CUTTING THROUGHOUT THE KAISERSLAUTERN MILITARY COMMUNITY,Department of the Air Force,F61521-99-R3003,0421,99,"The contractor shall provide all personnel, labor, materials, parts, equipment, tools, transportation and supervision necessary to perform grass cutting and grounds maintenance throughout the Kaiserslautern Military Community (KMC) to include Ramstein Air Base, Sembach Air Base, Kaiserslautern Fliegerstr. and Blutackerstr., Vogelweh, Kapaun Air Station, Landstuhl, and Hochspeyer Ammunition area."
CUSTODIAL SERVICES AT DEPARTMENT OF DEFENSE DEPENDENT SCHOOLS THROUGHOUT THE KAISERSLAUTERN MILITARY COMMUNITY,Department of the Air Force,F61521-99-R3008,0421,99,"The contractor shall provide all personnel, equipment, tools, materials, supervision and other items and services necessary to perform custodial services at Department of Defense Dependent Schools (DoDDS) throughout the Kaiserslautern Military Community (KMC) to include Ramstein Air Base, Kaiserslautern, Vogelweh, Kapaun Air Station, Sembach Air Base and Landstuhl area."
"CUSTODIAL SERVICES FOR PIRMASENS, MIESAU AMMO DEPOT, AND KAISERSLAUTERN MILITARY COMMUNITY IN GERMANY",Department of the Air Force,F61521-99R3002,0427,99,"Custodial Services Contract for Pirmasens, Miesau Ammo Depot, and Kaiserslautern Military Community in Germany."
WORKBENCH FOR VEHICLE MAINTENANCE,Department of the Air Force,F61521-99T0607,0720,99,"WORKBENCH FOR VEHICLE MAINTENANCE,2 METER LONG, TOP IS METAL COVER"
Y2K COMPLIANCE ON HVAC EQUIPMENT,Department of the Air Force,F6152199Q0264,0707,99,"Certification of Non-Y2K Compliant HVAC Equipment at Ramstein AB, Germany"
APPLIANCES,Department of the Air Force,F6152199Q7002,0713,99,DISHWASHER AND REFRIGERATOR/FREEZER COMBINATION
DISCOVERY CENTER MANAGER,Department of the Air Force,F6152199QS237,0708,99,Manager for the Discovery Center at the Family Support Center/Ramstein Air Base.
"PLATFORM FOR TRAILER,",Department of the Air Force,F6152199T0567,0617,99,"TRAILER, WITH TELESCOPIC PLATFORM"
TILT DECK TRAILER,General Services Administration,FFAH-T2-990001-N,0607,99,"The Government has a requirement for one (1) tilt deck trailer, 10 ton payload, single axle, pintle hitch.  Request for quote (RFQ) number FFAH-T2-990001-N.  Issue on June 7, 1999. Closing on, or about June 24, 1999.  Shipment required not later than 60 days after receipt of order.  Points of contact:  Contract specialist, Michael Canan 703-308-4663; Contracting Officer, Jeffrey M. Meyers 703-308-4666.The request for quote is available only via internet at http://www.eps.gov"
"FSC 4210 - FIRE FIGHTING VEHICLE, TANKER, 5000 GALLON - QTY. 2",General Services Administration,FFAH-T2-994210-N,0611,99,"The Federal Government is seeking competition in the procurement of two (2) Fire Fighting Vehicles, 5000 Gallon Tanker Trucks.  Vehicles must meet the purchase description in the solicitation and be fully compliant with NFPA safety standards.  For those seeking a copy of the solicitation, it will issue on or about June 30, 1999 and be available by downloading off of the Electronic Posting System (EPS) at: ""http://www.eps.gov""  This procurement is open to all offerors.  Paper copies of the RFP will not be made available.  It must be downloaded at the address stated above."
"2330 - TRAILERS, VAN-TYPE",General Services Administration,FFAH-T3-98-2330-2-N,0119,99,"The solicitation is for a definite quantity, firm, fixed price contract for the procurement of Federal Supply Class 2330, Trailers, Van-Type.  Specifically, Air Transportable Semi-Trailers"
CONTRACT SPECIALIST,General Services Administration,FFAH-T3-98-2330-2-N-,0202,99,This is the second Notice for this procurement.  THIS NOTICE PROVIDES UPDATES ON ANTICIPATED ISSUE AND CLOSING DATES.
BLOODMOBILES,General Services Administration,FFAH-W1-99929-N-,1021,98,THE VEHICLE WILL BE USED AS BLOODMOBILES (SELF CONTAINED
"TANKER TRUCKS, TANKER TRAILERS",General Services Administration,FFAH-WW-98-NATE-N,1106,98,"In response to the subject solicitation which appeared in the CBD on August 4, 1998 the revised issue date will on or about   January 7, 1999.  Any questions or information, please contact Pamela Turner at 703-308-4193 or by email at pamela.turner.@gsa.gov."
EOD TRAINING SUPPORT VEHICLES SOL,General Services Administration,FFAP-M5-990428-N,0423,99,"This is a reposting of solicitation, FFAP-M5-990428-N.  Because the original may have been infected with a virus, it was withdrawn and is being reposted."
LEASE OF COMPACT SEDANS,General Services Administration,FFAP-P4-00573-N,0820,99,"LEASE OF COMPACT SEDAN, FIRM FIXED PRICE, EST QUANTITY OF 7,000 UNITS+ /-MINUS 15% OF VEHICLE."
"A-E SERVICES, BUILDING MODERNIZATION, THOMAS J. MCINTYRE FEDERAL BUILDING, PORTSMOUTH, NH",General Services Administration,GS-01P-99-BZC-0020,0624,99,"The General Services Administration (GSA) is seeking Architect-Engineer (A-E) Services for the renovation and modernization of the 108,900 SF, Thomas J. McIntyre Federal Building, Portsmouth, NH.  The project will modernize and realign deteriorated office space, renovate the main lobby and recapture vacant postal workroom space.  Other components of the project include but are not limited to: asbestos abatement throughout the building, replacement of the roof and windows, exterior faade refurbishing including skylights.  Life safety upgrades include extension of the sprinkler system, emergency lights, expand fire alarm system, public address system, wiring to emergency power transfer switch, limited seismic reinforcement.  Upgrades to the mechanical and electrical systems and wiring to the EMS system.  Rest rooms and stair upgrades, plaza upgrades and elevators in the building will be upgraded to include seismic reinforcement and meet the requirements of the Americans with Disabilities Act (ADA).  And any other design work deemed necessary to implement the concepts developed during previous renovation studies or that arise during the development of concept design.  This project shall be designed in metric units.  The construction contract will have a base contract for those elements of work that can be executed within the Congressionally mandated cost limitation and contract options, alternates or line items for those elements of work that may be funded from other sources.  The A-E firm as used in this solicitation may be a partnership, corporation, association or other entity that will have contractual responsibility for the project design.  The A-E firm and all applicable consultants must be licensed to practice their specialty (architecture/engineering) in the state of New Hampshire.  The estimated construction cost of this project is in the range of $5,000,000 - $10,000,000.  The A/E fee for design services shall be within the 6% statutory limitation based on the government construction estimate at the time of negotiation.  Services required include, but are not limited to: planning phase feasibility studies including construction phasing and swing space design, design programming, design, cost estimating/analyses, code review, value engineering management, post construction contract services (PCCS) (Option), record drawings, construction management, administration and inspections (Option), testing oversight and review, building turnover coordination, post occupancy evaluations and any other services deemed necessary to provide for a completely functional facility. The Government has determined that the following disciplines and/or consultants are required: Architectural, Civil, Structural, Mechanical, Electrical, Fire Protection and Life Safety, Hazard Materials, Lighting, Cost Estimating, Elevators, Roofing, Construction management and administration, testing and inspection services.  Consideration is limited to firms having a active design/production office located within the New England Region, CT, MA, ME, NH, RI, VT.  Al east one member for the contract will be New England wide.  The selected A-E must have a production office within the six New England states.  The Evaluation Criteria for selection are as follows:  (1) EXPERIENCE: (35% weight factor), Past projects demonstrate creativity in applying innovative engineering design approaches, energy conservation, sustainable design principles (building _green_), and indicate an integrated HVAC design excellence strategy, demonstrate creativity in interior design.  Projects have received awards/recognition for design excellence.  Past projects are of office modernization and similar complexity and size.  (2) TEAM_S PROFESSIONAL QUALIFICATIONS/EXPERIENCE (25% weight factor), Individual key persons have appropriate qualifications and experience to bring a level of excellence to all aspects of this project.  Project team/consultants demonstrate an approach that endeavors to provide a well managed and coordinated design effort.  Project Manager proposed has the leadership and experience to be responsive to the requirements of this project.  (3) ORGANIZATION (25% weight factor), Firm_s ability to meet/work within constrictive time frames. Office production methods/technology, familiarity with metric document production.  The proposed team has previous experience working together.  The firm_s commitment to projects requirements/opportunities available for small, minority, and woman owned businesses.  The team indicates a clear commitment to performing a significant portion of the project_s design/construction documents in New England.  The team proposed demonstrates an approach to project accomplishment that will effect an efficiently executed and well coordinated project.  (4) QUALITY AND COST CONTROL (15% weight factor), Ability to evaluate/develop accurate preliminary project budgets; ability to control project costs during design process; methods used to coordinate construction documents, work of various engineering disciplines, and provide general production quality control.  If selected for an interview, the A-E Firm shall be prepared to discuss all aspects of the Evaluation Criteria indicated above and to demonstrate the ability to fulfill all contract requirements.  This procurement is being made under the Small Business Competitiveness Demonstration Program (FAR 19.10).  Small, small disadvantaged and small women-owned firms are strongly encouraged to participate.  Large business firms are reminded that the successful firm will be expected to place subcontracts to the maximum practical extent with small, small disadvantaged and small woman-owned firms as part of their original submitted team.  Before award of the contract, the A-E (if not a small business under SIC Code 1812) shall be required to present an acceptable Small Business and Small Disadvantaged Business Subcontracting Plan in accordance with Public Law 95-507.  As part of its commitment to socioeconomic initiatives of the Federal Government, the General Services Administration, Public Buildings Service has established for fiscal 2000 subcontracting goals of 40% for small businesses, 5% for small disadvantaged businesses and 5% for small women-owned businesses.   Firms having the capabilities to perform the services described in this announcement are invited to respond by submitting completed SF-254's (for firm, joint ventures, and consultants), which must be dated not more than twelve (12) months before the date of this synopsis, and a (ONE COPY) SF-255 along with letter of interest to: General Services Administration, New England Region, T.P. O_Neill Jr. Federal Building room #975, 10 Causeway Street Boston, MA 02222-1077, by DATE: 07/26/99, TIME: 3:00 PM .local time.  The following information MUST be on the outside of the sealed envelope 1) Solicitation Number/Title, 2) Due Date, 3) Closing Time.  Late responses are subject to FAR Provision 52.214-7.  In Block 8 of the SF-254 specify only current W-2 payroll (non-contract) personnel of each firm.  In Block 10 of the SF-255, the A-E Firm MUST respond to the FOUR (4) EVALUATED CRITERIA stated in the CBD announcement for this solicitation.  In Block 11 of the SF-255, the A-E Firm MUST sign, (name and title) and date the submittal. Award of this contract is contingent upon funding approval.  This contract is being procured under the Brooks Act and FAR 36.  This is not a Request for Proposal."
UNIFORMED ARMED AND UNARMED GUARD SERVICE IN THE WESTERN AREA OF UPSTATE NEW YORK,Department of Homeland Security,GS-02P-99-CID-0044,0709,99,"Provide security guard services for a period of one (1) year with the possibility of four one-year option periods.  Set-aside for small business. Sic code: 7381. Bidders MUST have the ability to obtain a valid license to perform these guard services in New York State at the time of award. Projected award date is October 1, 1999. BID and PERFORMANCE BONDS are required. Solicitation issue date: On or about July 26, 1999. Firm, Fixed-price, indefinite-quantity contract. Contractors are responsible for downloading copies of the solicitation and any amendments that may be issued. It is the Contractor's responsibility to monitor this web site for the release of the solicitation in addition to amendments and notices, if any. No hard copies of this solicitation shall be issued. Bid Opening Date is August 25, 1999. A PRE-BID CONFERENCE will be held on August 3, 1999 at 26 Federal Plaza, New York, NY 10278. Please monitor this site for further notice(s) regarding this conference and the room location."
"ELECTRICAL UPGRADE-U.S. COURTHOUSE, 40 FOLEY SQUARE, NY, NY",General Services Administration,GS-02P-99-DTC-0013,0423,99,"Electrical Upgrade Prospectus at the U.S. Courthouse located at 40 Foley Square, New York, New York. This procurement is being issued under the Small Business Competitiveness Demonstration Program, and is opened to both large and small business concerns.  The estimated price range is $2,500,000 to $4,000,000.  This procurement will include a Competency of Bidder Requirement.  Presolicitation Notices will be mailed on or about May 6, 1999.  Bidding documents will be available on May 17, 1999.  Project No. INY99002.  For a copy of the solicitation or any questions regarding this project, please contact  Petrina LaRocca, (212) 264-2452."
"SNOW REMOVAL, CHAMPLAIN, NY BORDER STATION",General Services Administration,GS-02P-99-PWC-3084,0902,99,"Notice is hereby provided of the Government's requirement to provide all labor, supervision, equipment, supplies, and materials necessary for snow and ice removal and sanding services that will provide and maintain safe conditions for vehicles and pedestrians at the U.S. Border Inspection Station, Interstate 87, Champlain, New York. The Contractor shall be responsible for continuously providing and maintaining safe conditions for vehicles and pedestrians on all paved surfaces 24 hours per day, 7 days per week, including Federal holidays, during the contract period.  The Champlain Border Station contains approximately 5 acres of paved surfaces, including, but not limited to, roadways, parking and standing areas, sidewalks, inspection areas, and loading dock.  A site visit is required. A base year with four (4) one-year options is anticipated, commencing mid-October 1999.  The procurement is 100% small business set-aside.  The standard industrial classification code is 7349 and the small business size standard is $12 million.  All responsible sources may submit a proposal which shall be considered by the agency.  The solicitation will be issued tentatively on September 23, 1999.  The solicitation will be processed in accordance with FAR Part 12, Acquisition of Commercial Items.  The Request for Proposal due date is tentatively October 6, 1999.    All requests for the solicitation package should be written, facsimile, or e-mail.  No telephonic requests will be honored for this solicitation.  See numbered note 1."
"SIDEWALK & STAIRWAY REPAIRS AT PIRNIE FEDERAL BUILDING, UTICA, NY",General Services Administration,GS-02P-99-PWM-0131,0519,99,"Notice is hereby provided of the Government's requirement to repair and/or replace concrete sidewalks and granite stairways at the Alexander Pirnie U.S. Courthouse & Federal Building, Utica, New York.  The successful contractor shall furnish all necessary labor, materials and supervision.  The proposed construction includes site preparation, earthwork, drainage, landscaping, paving, surfacing, cast-in-place concrete, and thermal & moisture protection sealants.  This procurement is open to competition among both large and small business concerns pursuant to the Small Business Competitiveness Demonstration Program.  The magnitude of this construction project is estimated between $25,000.00 and $100,000.00.  The applicable SIC is 1741 and the size standard is $7.0 million.  Alternate payment protection of 50% will be required upon award.  The required performance period is 14 days commencing one day after the notice to proceed.  The Request for Quotation (RFQ) will be issued tentatively on June 4, 1999.  All requests for RFQ will only be provided in response to written or electronic mail requests to the agency's contract specialist.  All responsible sources may submit a quotation that will be considered.  Contractors are requested to provide a street address as drawings and specifications cannot be delivered to a post office box.  NO TELEPHONIC REQUESTS WILL BE HONORED FOR THIS SOLICITATION."
ADD TWO CONTRACTORS TO THE INDEFINITE QUANTITY MULTIPLE AWARD CONSTRUCTION TERM CONTRACT WITH DESIGN CAPABILITY FOR DE & MD,General Services Administration,GS-03P-00-CDD-0002,1013,99,"Provide all labor, materials, supervision, equipment, and tools necessary for general repairs and alterations, to Government owned and leased facilities in the states of DE & MD.  This procurement will add two contractors to the existing Indefinite Quantity Construction Term contract with the ability to perform associated design services for construction projects ranging from approximately $100,000 to $2 million.  The estimated cost of services for construction for a given year under this contract is approximately $3 million.  Currently, three contractors hold the Indefinite Quantity Construction Term contract for DE & MD.  The Government intends to award term contracts to two additional contractors at this time.  Individual delivery orders may be competed among all five firms (three existing firms and the two soon to be selected firms) under this contract, unless the Government deems otherwise on an individual task order basis.  The contract will run until September 10, 2000 and will have two (2) one year unilateral options on the part of the Government.  Offers will be evaluated using source selection/greatest value method outlined in Volume I of the solicitation package based on the following evaluation factors: 1) Past Performance, 2) Technical and Organizational Approach, 3) Key Personnel Qualifications 4) Small Disadvantaged Business Participation, as well as Price related factors.  This solicitation will be available on or about 10/25/99.  Interested parties may request a copy of the solicitation by FAXing their request to (215) 656-5955, Attn: Kim De Sant.  This procurement is UNRESTRICTED.  As a result, a Price Evaluation Preference factor of 10% will be applied to the evaluation of all contractors' price proposals, except for HUBZone Small Business concerns.  The SIC CODE is 1542.  This synopsis constitutes the synopsis of the Pre-Invitation Notice."
"RENOVATION OF SSA ANNEX BUILDING, BALTIMORE, MD",General Services Administration,GS-03P-00-DXC-1000,0903,99,"This requirement is for the procurement of a construction firm to provide all supervision, labor, materials and equipment necessary to renovate the SSA Annex Building, 6401 Security Boulevard, Baltimore, MD.  The project entails (but is not limited to) the following: the removal of existing inverted built-up roof and storm drain system; exterior masonry walls, exterior doors and windows, interior masonry metal panels and metal stud wall partitions, interior doors, frames and windows; plaster and suspended acoustical ceilings, carpet tiles, resilient flooring and other applied finishes, hazardous material abatement, plumbing piping and fixtures, HVAC ducts, piping and equipment, power distribution, lighting and communications conduit, wiring and equipment, selective demolition and entrance canopies.  The removal, storage and/or relocation and reinstallation of: fire alarm system components, cooling tower, exterior and interior cameras, pre-cast concrete roof walkway pavers, marble wall facings, food service equipment.  The exterior work includes, (but is not limited to): pre-cast concrete panels, brick masonry, curtain walls and windows, sheet waterproofing, swing and revolving doors, loading dock with extensions to an existing concrete retaining wall, bituminous paving and hydraulic dock lifters, cementitious coatings, landscaping, skylights, driven piles, side sediment and erosion control, louvers, exterior in-grade lighting, modified bitumen roofing with tapered and thermal insulation, aluminum sheet metal flashing and trim, new storm drain system, concrete sidewalks.  Interior work includes, (but is not limited to): structural concrete removal and repair, concrete masonry, glass unit masonry and gypsum drywall partitions, integrated access floor/wiring assembly, cementitious floor toppings, structural steel framing and metal decking, metal fabrications and gratings, pipe and tube railings, wood handrails in existing stairs, rough and finished woodwork, plastic fabrications, building insulation, firestopping, wood and hollow metal doors in hollow metal frames, packaged door assemblies, overhead coiling doors and horizontally sliding grilles, accessible hardware and power door operators, gypsum and veneer plaster, ceramic and quarry tile, terrazzo, suspended acoustic tile ceilings, suspended decorative grids, suspended gypsum drywall bulkheads and ceilings, resilient tile flooring and bases, carpet and carpet tile, painting, special coatings and wall coverings, ceiling hung toilet partitions, wire mesh parititions, signs metal lockers, fire extinguishers and cabinets, hospital type hydraulic freight elevator for the cafeteria, plumbing fixtures and piping, HVAC ductwork, piping and controls, thermal ice storage system, sprinkler system, indirect and recessed lighting, fire alarm, public address, security systems, power distribution, lighting and communications conduit, wiring and equipment, glass unit masonry.  Also included is the following: maintaining operation of a fitness center on the first floor during construction including HVAC, power, lighting, phone service and two fire rated means of egress; the relocation of the cafeteria and dining area and the provision of food service equipment; the creation of two atriums on the fourth floor and the creation of a two story entrance lobby above the first floor, closing and securing the link structure to the adjacent Operations Building and maintaining the handicapped access to the southwest entrance of the Operations Building during construction; the security office on the first floor shall remain, but will be unoccupied during construction.  The successful offeror will be required to utilize Primavera Expedition Express, which is a web based system for transferring project information.  This is a metric project as drawings and specifications are prepared utilizing metric units.  The building is an existing 4-story, 37,725 square meter gross floor area office building which houses Social Security Administration personnel.  The approximate duration of the contract is eighteen (18) months.  The estimated cost range of this project is over thirty-five million dollars ($35,000,000.00), will be a firm fixed price type contract and the procurement method will be a competitive negotiated Request for Proposal (RFP).  Source Selection Procedures as identified in FAR Part 15.3 will be utilized in the selection of a firm offering the best value in terms of price and technical merit.  Accordingly offerors will be evaluated based on technical merit with respect to demonstrated successful past performance, including the past performance of their subcontractors, qualified/experienced personnel and on price proposals.  The acquisition process shall consist of five phases: 1) receipt and evaluation of technical offers, 2) develop an advisory short list based on technical qualifications with notification to each firm, (the short listed firms will be provided with 100% construction documents, firms who did not make the advisory technical short list will not be precluded at this stage), 3) receipt and evaluation of initial price proposals from short listed firms, 4) oral presentations and interviews and 5) negotiations and receipt and evaluation of best and final offers.  Award will be made based on a combination of price and technical evaluation factors.  The technical evaluation factors are more important than cost or price.  The Government has reserved the right to award upon receipt of price proposals in phase 4 without negotiation.  The relative weights in the evaluation process in descending order of importance are: 1) Past Performance, 2) Project Management Staff and 3) Subcontracting Team.  Upon receipt and evaluation of all technical and price proposals, a formal selection of a firm will be made that offers the greatest value to the Government.  The SIC Code is 1542.  This procurement is being conducted on an unrestricted basis in accordance with the Small Business Competitiveness Demonstration Program.  This announcement also constitutes the synopsis of the pre-invitation notice.  The technical qualification documents will be available through the World Wide Web only on September 3, 1999.  The  web address is www.eps.gov.  No paper copies of the technical requirements will be available through this office.  A pre-proposal conference and walk through for the technical proposal will be conducted at the SSA Annex Building, 6401 Security Boulevard, Woodlawn, MD at 10:00 AM on September 21, 1999 in the cafeteria.  Please call Ms. Debbie Phillips at (215)656-6133 to confirm attendance.  The technical proposals are to be received in this office on October 1, 1999."
"BUILDING SYSTEMS MAINTENANCE, ELEVATOR MAINTENANCE AND CUSTODIAL SERVICES VARIOUS LOCATIONS IN NEW JERSEY AND DELAWARE.",General Services Administration,GS-03P-99-AZC-0050,0420,99,"Furnish all labor, materials, and equipment required to perform the services as follows: The contractor shall provide facilities engineering, repairs, building systems maintenance, elevator maintenance and repair, custodial (including pest and rodent control and trash removal), grounds care and snow removal services at various locations in New Jersey and Delaware, totaling approximately 800,000 gross square feet.  Services required at each location and potential start dates are as follows:"
"MASONRY FACE BRICK FOR FACADE REPLACEMENT, BYRNE COURTHOUSE PHILADELPHIA, PA.",General Services Administration,GS-03P-99-AZC-0061,0621,99,"Furnish all labor and material necessary to manufacture and supply masonry face brick for faade replacement project, James A Byrne Courthouse and Wm. J Green Federal Office Bldg. Phila., PA. Offers are being solicited from all masonry brick manufacturers.  Bricks are to be delivered in phases with the first delivery due on or about October 15, 1999. The SIC code is 3271, the estimated cost range is between $250,000.00 to $500,000.00.  This announcement constitutes the synopsis of the pre invitation notice.  Copies of the solicitation package will be available approximately 7/7/99."
FULL SERVICE SUPPLEMENTAL ARCHITECT-ENGINEER CONTRACTS,General Services Administration,GS-04P-99-EWD-0138,0701,99,"The General Services Administration is seeking full service A&E firms or A&E teams with a major emphasis in roofing and waterproofing for the states of Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee.  The Product Service Code (PSC) is 119 and the Standard Industrial Classification (SIC) Codes are 8711 and 8712.    It is anticipated at this time that multiple Indefinite Quantity/Indefinite Delivery contracts will be awarded. Contracts will be 100% set aside for small business. The small business size standard is $2.5 million or less based on the annual average gross revenue of a firm which has been in business for 3 or more fiscal years.  Contractors are encouraged to utilize Women Owned and Small Disadvantaged Businesses as team members.  Consideration of a joint venture partnership will be based on the demonstration of a viable arrangement of interdependency of members and an existing active design production office with its principle place of business located within the states of Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee.   Each contract will be for a one year period from the date of the contract award, with four one year options. The Maximum dollar value of the contract shall be $500,000.00 for the base year and for each option year, with the total contract amount over five years not to exceed $2,500,000.00.  The professional services to be provided will include, but not be limited to:  architectural/engineering design and related services required in connection with roof construction with roof construction/repair or replacement project and/or engineering surveys, condition assessment feasibility studies and engineering reports, planning, programming, studies, investigations, cost estimates, construction inspections, design concepts through working drawings and specifications, and construction phase services including but not limited to review of shop drawings, samples, equipment, data and other related requirements.  The contractor may also be tasked to provide on-site quality assurance inspection services during construction and to review submittals and change order requests.  The anticipated construction costs of these projects will vary from $50,000.00 to $1,500,000.00, depending on specific design limitations.  For performance of this contract, the following disciplines will be required:  architectural, structural, mechanical, electrical, civil, roofing/waterproofing, historical preservation, and cost estimating.  In addition to the above disciplines, performance under this contract will also require compatibility with Autocad Release 14.  Under this contract, the Government will not indemnity the A/E against liability arising out of asbestos or other hazardous materials.  Firms responding to this announcement on or before the closing date will be considered for selection using the following evaluation criteria, which are listed in descending order of importance --- 100 points maximum:  (a) Professional qualifications in the fields of expertise necessary for performance of roof design, building envelope waterproofing, condition assessments and construction inspection services --- 25 points:  (b) Sufficiency of staff and multidiscipline technical resources available to perform multiple projects concurrently under this contract.  Include Organization and Quality Assurance plans which identify key personnel and their responsibilities as well as the primary office, which will be responsible for the management of the projects.  Identify the staff assigned to the primary office by discipline and the projects the particular office has completed --- 25 points;  (c)  Specialized experience and technical competence by the firm or team in the required type of work.  This includes suitability of previous work which relates directly to the work described in this announcement ---25 points;"
